33,32,5.9,2.3,0.9,2.2,40.6,0.3,1,35.5,0.3,0.3,72.7,0.2,0.3,0.5,0.6,0.3,0.2,0,0.9,4.1,0,0,-2.3,96.8,115.4,-18.7,16.1,1.82,19,3.6,5.7,4.6,10.5,48.6,50.8,18.9,101.87,4.4,0,1
22,58,32.9,17.6,6.5,14.9,43.4,2,5.9,33.6,2.7,3.9,69.8,1.5,6.4,7.9,2.3,1.8,1,0.8,1.9,34.1,17,0,-1.6,105.7,107.6,-1.8,11.1,1.27,11.3,4.4,19.1,11.6,8.9,50,53,23.7,101.06,11.3,0,1
24,48,10.9,3,1,3.1,33.6,0.5,1.4,35.4,0.5,0.8,59,0.3,1.2,1.5,0.5,0.7,0.3,0.2,0.9,6.5,0,0,-2.3,96.1,106.3,-10.2,7.8,0.76,11.5,2.4,11.1,6.7,15,41.3,43.9,16.1,101.47,3.3,0,1
32,72,31.6,12.9,5.1,10.5,48.9,1.3,3.1,42.9,1.3,1.7,78.3,1.4,5.9,7.4,4.7,1.8,0.6,1.1,1.9,32,15,0,4.8,108.3,100.8,7.5,22.5,2.57,26.6,4.7,17.8,11.5,10.3,55.3,57.5,18.2,97.9,13.4,1,2
33,36,13.4,7,3.1,5.8,53.4,0,0.1,0,0.8,1,83.3,0.8,3.1,4,0.8,0.6,0.4,0.6,1.8,15.7,1,0,-0.3,104.6,106.1,-1.5,9.8,1.43,11.1,6.1,22.7,14.4,7.7,53.4,56.3,21.6,98.97,13.5,0,1
27,69,30,9.3,3.3,8.4,39.5,1.8,4.9,36.9,0.9,1.2,73.8,1.4,6.2,7.6,1.2,1.1,1.1,0.6,2,24.3,9,0,3.2,108.9,103.8,5,5.6,1.06,10.8,4.5,19.8,12.1,10.1,50.3,52.2,14.3,99.12,9,0,1
26,64,16.5,7.7,2.7,6.5,41.1,0.7,2.2,33.1,1.7,1.9,86.3,0.3,2.7,3,1,0.9,0.6,0.1,1.2,14.1,0,0,-0.2,103.2,104.3,-1.1,10.4,1.12,11.3,1.9,16.8,9.4,10.1,46.7,52.7,21.8,99.05,10.1,0,1
23,20,11.2,4.1,1.4,3.7,37.8,0.9,2.9,31,0.4,0.5,80,0.4,1.5,1.9,0.6,0.2,0.1,0.1,0.7,7.6,0,0,1.8,108.7,100.6,8.1,7.3,3,12.9,3.2,12,7.6,4.3,50,52.3,15.1,103.32,7.1,0,1
24,75,15.1,4.7,1.5,3.9,39.5,1.1,2.9,38,0.5,0.6,84.8,0.3,1.2,1.5,0.4,0.3,0.5,0.1,1.7,8.6,0,0,0.6,106.3,105,1.3,3.6,1.12,7.7,2.1,7.9,4.9,6.9,54,56.7,12.4,99.18,4.8,0,1
24,37,15.2,3.6,1.4,3.1,43.1,0.4,1.2,30.2,0.6,0.8,70,0.4,1.4,1.8,2,1.1,0.6,0.3,1.4,10.3,0,0,-0.1,99.3,99.4,-0.2,18.5,1.79,30.4,2.6,8.6,5.6,17,48.7,51.9,12.6,104,6.2,0,1
25,69,20.2,8.5,3.1,5.5,56.6,0,0,33.3,2.3,3.3,68.4,2.5,5,7.5,1.2,1.1,0.4,0.9,2.3,22,12,0,-3.7,100.9,109.2,-8.2,9.3,1.05,12.8,11.6,22.8,17.2,12.2,56.7,61.2,16.3,104.15,12.9,0,1
24,25,4.2,1,0.4,1,42.3,0.2,0.4,36.4,0,0,0,0.3,0.4,0.7,0.1,0.1,0.1,0,0.6,2.4,0,0,-0.8,101.4,114.7,-13.3,2.6,1,6.7,6.1,10.2,8,6.7,50,50,11.1,98.88,3.2,0,1
25,14,3.8,1.5,0.6,1.1,53.3,0.2,0.6,33.3,0.1,0.2,66.7,0.1,0.4,0.5,0.1,0.2,0.1,0.1,0.6,2.4,0,0,-1,100.9,113,-12.2,2.7,0.33,5,2.2,9.8,6.6,15,63.3,64.3,15.7,103.3,5.2,0,1
26,75,29.3,13.2,4.5,11,40.7,2.7,7.1,37.8,1.5,1.8,85.2,0.4,3.9,4.3,1.6,1,0.6,0.5,2.2,23,0,0,-1,106.2,107.9,-1.7,8.2,1.5,11,1.2,13,7,7.3,52.9,55.8,18.2,101.75,8.4,0,1
31,74,15.8,4.6,1.9,3.5,53.8,0.1,0.4,31.3,0.7,1.1,61.2,1.7,2.8,4.5,1.6,0.7,0.6,0.6,2.6,15.2,1,0,0.1,100.5,99.2,1.4,13.7,2.15,25,10.2,16.9,13.6,11.7,55.8,57.5,12.2,105.61,8.8,0,1
24,78,33.7,15,6,11.3,52.9,0,0.1,0,3.1,5.1,60.5,5.1,10.9,16,3,2.6,1.5,1.6,3.2,45.5,62,0,-0.7,106.5,107.2,-0.7,14,1.19,15.8,14.5,32.9,23.4,13.4,52.9,55.5,20.6,98.35,15.6,1,2
34,64,25.4,6,2.3,5,46.3,0.5,1.8,28.2,0.9,1.4,63.2,0.8,3.1,3.8,3.3,1,0.8,0.6,1.5,18.8,0,0,4.3,108.3,100.4,7.9,16.9,3.13,33.1,3.3,10.9,7.4,10.6,51.4,53.6,11.1,101.99,8.1,0,1
26,39,26.6,5,2.2,4.2,53.7,0.2,0.9,22.2,0.3,1,31.6,1.9,2.8,4.7,1.2,0.8,1.2,0.9,2.3,17.8,0,0,4.8,104.8,96.6,8.2,5.9,1.53,18,6.8,10.9,8.8,11.7,56.2,54.3,8.4,98.09,6.5,0,1
33,24,9,1.5,0.7,1,68,0,0,0,0.1,0.1,100,1.1,2.2,3.3,0.6,0.8,0.2,0.5,1.7,7.7,0,0,-1.2,93.9,98.3,-4.4,9.9,0.79,25,10.4,22.3,16.2,31.7,68,69.6,8.4,103.26,8.1,0,1
23,56,23.7,9.5,3.2,7.7,42.2,0.8,2.5,33.1,2.2,2.8,78,0.4,1.9,2.3,3.2,1.4,0.7,0.5,2.5,19,0,0,-3.6,100.1,107.4,-7.3,22.2,2.19,23.4,1.7,8.5,5.1,10.7,47.7,53.4,19.3,95.82,8.3,0,1
25,15,13.9,4.6,1.7,4.9,34.2,1.2,3.3,36.7,0.1,0.3,25,0.3,2,2.3,0.4,0.5,0.2,0.1,0.8,8.2,0,0,-5.1,90.7,109.3,-18.7,5,0.75,6.8,1.6,13.3,7.2,9.1,46.6,46.1,15.8,104.56,4.9,0,1
23,82,36.3,17.7,6.9,15.9,43.8,1.4,4.1,33.1,2.5,3.8,64.3,1,3.4,4.4,2,1.7,1.1,0.6,2,29.4,1,0,2.5,112,108.5,3.5,8,1.16,9.2,2.8,9.4,6.1,7.9,48.1,50.5,22.7,97.96,7.6,0,1
21,32,6.7,3.7,1.5,2.1,73.1,0,0,0,0.7,0.9,72.4,0.8,1.1,1.9,0.2,0.3,0.1,0.4,0.9,7.3,0,0,-1.2,104.4,113.6,-9.2,3.9,0.45,5.3,11.2,17.9,14.5,11.7,73.1,74.6,17,102.5,13.2,0,1
25,75,36.4,28.1,10.4,19.5,53.4,0.7,2.2,34,6.6,8,82.8,2.5,8.6,11.1,2.3,2.2,1.5,2.6,2.1,55.1,50,1,3.9,108.9,103.6,5.3,10.4,1.07,8.5,7,21.3,14.6,7.9,55.2,61.2,29,103.26,18.8,1,2
33,79,22.2,8.9,2.8,6,46.4,2,4.6,43.6,1.3,1.7,79.7,0.6,2.4,3.1,1.1,0.7,0.4,0.3,1.8,15.5,1,0,0.3,105.2,104.2,1,7.6,1.55,13.4,2.7,10.9,6.7,8.6,63.2,66.3,14.3,98.7,8.6,0,1
21,19,16.5,7.9,2.8,7.5,37.1,0.8,2.7,28.8,1.6,2.1,76.9,0.2,1.5,1.7,1.1,0.6,0.4,0.1,1,12.3,0,0,-0.3,106.8,108.6,-1.7,9.6,1.82,10.6,1.1,8.9,4.9,5.8,42.3,47.1,22.4,100.24,6.4,0,1
24,17,7.2,1.4,0.5,1.2,38.1,0.2,0.2,75,0.2,0.4,66.7,0.2,0.6,0.8,0.1,0.4,0.4,0.3,1.4,4.2,0,0,-2.6,84.6,101.1,-16.5,2.5,0.29,6.1,2.2,8.5,5.2,21.2,45.2,48.6,10.4,104.4,0.5,0,1
31,81,18.3,6,2.6,5.5,47.1,0,0.3,14.3,0.7,1,75.6,1.6,3.8,5.4,1.1,1,0.3,0.6,2.5,15.8,4,0,2.3,102.6,96.6,6,9.5,1.16,14.2,8.6,19.6,14.1,12.3,47.4,50.2,16.3,98.02,8.7,0,1
32,53,12.9,3.4,1.2,3.1,40.1,0.5,1.3,38.6,0.4,0.5,84.6,0.1,1.2,1.2,0.6,0.4,0.1,0.2,1.1,6.1,0,0,-1.8,99.2,106.3,-7.1,6.6,1.43,13.3,0.6,8.2,4.6,9.3,48.5,51.6,12.5,99.26,4.2,0,1
25,61,33.7,15.1,5.6,13.2,42.4,2.2,5.9,37.8,1.7,2.6,64.2,0.4,1.9,2.4,4,1.8,1.2,0.3,2.5,26.5,0,0,-1,109.4,110.9,-1.5,17.9,2.22,19.8,1.3,5.8,3.5,8.9,50.8,52.6,20.4,98.33,7.3,0,1
27,46,31.2,14.3,5.6,13.6,41.4,1.6,4.4,36.9,1.4,1.8,76.8,0.5,2,2.5,2,2.2,1.1,0.2,2,22,0,0,-2.7,103.5,107.6,-4.1,10.5,0.93,11,1.4,6.8,4,11.8,47.4,49.6,22.8,98.31,6,0,1
20,69,19.8,6.9,2.5,4.9,51.2,0,0.1,0,1.9,2.6,72.1,1.7,3.8,5.5,1.5,1,0.5,0.6,2,18,7,0,-0.4,100.5,101.7,-1.2,11.5,1.53,17.2,8.6,19.4,14,11.3,51.2,57,15.5,97.43,11.1,0,1
25,56,19.5,7.5,2.8,6.7,42.1,1,2.8,34.6,0.9,1.1,82.8,0.6,1.9,2.5,0.9,1.1,0.7,0.3,2.5,13.6,0,0,-5.7,97,110.7,-13.8,7.8,0.84,10,3,10.1,6.4,11.9,49.5,52.6,18,98.76,5.6,0,1
21,81,33.7,15.8,6.7,12.3,54.5,0,0.1,0,2.4,4.2,56,1.8,6.3,8.1,8.2,3.4,1.7,0.9,2.6,42.1,38,12,4.8,108.9,102.2,6.6,36.2,2.38,31.6,5.3,17.1,11.5,13.3,54.5,55.7,21.7,102.42,15.4,0,1
25,82,18.2,5.7,2.2,4.3,52,0,0,0,1.2,1.9,65,1.8,4,5.7,0.8,1,0.3,1.2,1.9,17,7,0,-5.2,96.4,110.5,-14.1,7,0.79,11.5,9.1,20.9,14.9,14.7,52,55.6,14.4,99.12,9.8,0,1
29,58,34,21.4,7.5,17.2,43.8,1.9,5.6,34.5,4.5,5.7,78.5,1.3,6.1,7.4,5.8,2.8,0.7,0.3,2.4,39.1,16,3,1,108.1,106.4,1.7,28.6,2.02,20.4,3.6,17.5,10.6,10.1,49.3,54.4,28.3,99.18,14.4,0,1
29,39,8.7,6,2,3.8,53.4,0,0,0,2,2.5,79.4,1.2,2.5,3.7,0.6,0.9,0.3,0.3,1.3,12,1,0,1.4,109,101.6,7.4,10,0.61,8.8,15.1,27.4,21.5,14.4,53.4,61.6,27.5,103.64,16.6,0,1
33,20,5.7,2.5,1,2.9,32.8,0.6,2,27.5,0.1,0.1,50,0,0.4,0.4,0.6,0.5,0.2,0,0.3,3.9,0,0,-3,90.7,113.7,-23,19,1.22,13.9,0,6.1,2.9,11.4,42.2,42.5,25.1,103.57,3.9,0,1
23,73,22.5,13.2,5.2,11.1,47.1,1.1,3.1,35.9,1.6,2.1,76.9,2.2,4.6,6.8,1.7,1.4,0.7,0.3,1.8,25.5,12,0,-1.1,106.1,108.9,-2.8,12.6,1.19,11.2,8.9,20.7,14.5,9.4,52,54.8,24.7,101.2,13.3,0,1
25,78,27.9,11.8,4.4,9.9,44.6,1.7,4.2,39.2,1.3,1.5,84,0.4,2.5,2.9,3.3,1.6,0.9,0.2,2.2,21.9,0,0,-4.6,102.2,110.6,-8.4,18.3,2.06,21.5,1.4,9.4,5.3,10.4,52.9,55.6,19.1,97.27,8.7,0,1
29,80,30.8,14.3,5.1,10.7,47.4,1.9,4.8,40.2,2.2,2.6,86.8,0.4,3,3.4,1.5,1.3,0.7,0.1,1.6,21.6,0,0,1.1,105.6,104.1,1.5,7.1,1.12,10.3,1.2,9.7,5.5,9.1,56.5,60.5,18.4,99.05,9.1,0,1
25,82,36.3,22.6,8.3,18.1,46,2.4,6.5,37.5,3.6,4.5,79.1,0.7,3.7,4.4,4.5,2.6,1.2,0.4,2,37,4,0,2.2,108.4,105.7,2.7,20.6,1.74,16.9,2.1,10.1,6.2,9.7,52.7,56.4,26.7,98.25,12.5,1,2
30,28,13.6,5,2.1,3.6,57.8,0,0,0,0.8,1.2,63.6,1.2,2.2,3.4,0.5,0.3,0.5,0.9,1.1,13.6,0,0,1.5,101.1,96.8,4.3,5.6,1.63,9.5,8.6,16.1,12.4,5.8,57.8,59.6,13.7,99.31,14,0,1
20,59,33.5,16.1,6.1,12.9,47,0.7,1.8,39,3.3,4.8,68.1,1,4.4,5.3,3.9,2.5,0.8,0.7,2.8,30.3,6,0,-2.2,104.3,106.9,-2.6,17.7,1.54,18.2,2.7,12.1,7.4,11.8,49.7,53.6,21.7,101.99,9.6,0,1
28,14,14.7,5.2,1.9,5.1,37.5,0.6,2.4,27.3,0.7,0.7,100,0.4,1.9,2.2,3.1,1.3,0.4,0.3,0.8,13.4,1,0,-4.5,96.1,109,-12.9,33.1,2.44,32.1,2.2,13.1,7.3,13.1,43.8,47.8,18.9,103.19,9.7,0,1
27,64,9,2.3,0.9,2,43.3,0.2,0.8,27.8,0.3,0.7,51.2,0.1,1,1.1,0.6,0.5,0.4,0.1,0.9,5.5,0,0,-0.1,97.3,97.6,-0.3,9.6,1.28,17.5,1.1,10.9,6,13.7,49.2,50.4,12.9,101.82,5.1,0,1
25,18,13.1,2.8,1.1,2.4,44.2,0.2,0.6,36.4,0.4,0.6,80,0.4,1.5,1.9,1.2,0.8,1,0.3,1.6,9.9,0,0,-5.9,98.2,119.8,-21.6,13.9,1.47,25.9,3,13,7.4,17.6,48.8,52.7,10.9,102.8,5.8,0,1
24,18,5.4,2.4,1.1,2.3,47.6,0,0.1,0,0.2,0.3,60,0.5,1.2,1.7,0.1,0.3,0.5,0.3,0.7,6.8,0,0,-0.4,97.7,100,-2.3,3,0.4,3.9,8,22.7,14.8,9.8,47.6,48.6,19.1,107.55,10.6,0,1
30,74,23.4,13,5,10.7,46.5,1.5,4.4,34.5,1.5,2.1,70.3,1,3,4,1.7,1.3,0.4,1.3,2.6,24.2,4,0,-1.1,105.5,107.7,-2.2,11.3,1.29,11.7,4.1,12,8.1,9.1,53.6,55.7,22.8,102.82,9.2,0,1
22,12,8.9,2.2,0.8,2.6,29,0.3,1.4,17.6,0.4,0.5,83.3,0.6,1.3,1.8,0.3,0.3,0.3,0.3,0.7,6.3,0,0,0.9,99.1,96.2,2.9,5.6,1,9.8,6.2,14.6,10.2,9.8,33.9,38.6,15.2,95.96,5.2,0,1
24,80,19,6.9,2.6,6.2,42.1,1.1,2.9,39,0.6,0.9,66.7,0.2,1.2,1.4,1,0.5,0.4,0,1.4,10.8,0,0,1.5,105.1,101.9,3.1,7.7,2.16,12.5,0.8,6.5,3.6,5.8,51,52.5,15.7,98.97,5.5,0,1
24,80,25.3,13.5,5.2,11.7,44.6,2.2,5.1,43.1,0.9,1,87.7,0.7,3.2,3.8,1.9,1.6,1.1,0.3,1.9,23.5,0,0,-1.9,102.4,106.8,-4.3,12.7,1.25,12.5,2.7,12.9,7.6,10,54,55.7,23.4,96.77,10.9,0,1
28,38,18.6,5.5,2.3,5.2,44.2,0.6,2.1,28.2,0.3,0.4,81.3,0.3,1.2,1.5,1.1,0.5,0.8,0.3,1.7,11.9,0,0,-0.9,104,105.5,-1.5,8.6,2.15,16,1.7,5.8,3.8,7.5,49.7,51.2,13.2,101.57,5.3,0,1
21,27,7,2.3,0.9,2.2,40,0,0.3,12.5,0.4,0.7,66.7,0.6,1.4,2,0.5,0.7,0.2,0.1,1.4,5.7,0,0,-0.4,93.5,97.5,-4,12.4,0.78,14.1,7.5,20.7,13.9,18.2,40.8,44.9,18.4,101.02,5.4,0,1
23,25,23.3,8.8,3.5,8.6,40.5,1.4,3.6,38.5,0.5,0.6,75,0.7,2,2.8,4.5,1.4,1,0.4,1.8,21.7,1,0,-3.6,102.1,109.9,-7.8,29.4,3.14,30.5,2.7,8.9,5.6,9.7,48.6,49.8,18.2,101.28,8.8,0,1
23,71,26.2,12.1,4.5,10.4,43.5,1.2,3.5,34.7,1.9,2.6,71.1,0.7,2.9,3.7,4.2,2.2,1.2,0.3,2.2,25,3,0,-3.7,100.7,107.3,-6.6,26.5,1.95,23.7,2.6,10.4,6.5,12.1,49.3,52.5,21.4,103.29,9.9,0,1
34,78,32.1,16.2,6.1,15,40.4,2.2,6.1,35.7,1.9,2.5,76.7,0.9,4.9,5.8,1.3,1.3,0.6,0.6,2.5,27.5,6,0,3.5,110.8,105.6,5.2,6.1,1.04,7.1,2.5,15.8,8.8,6.8,47.6,50.3,22.1,99.84,8.6,0,1
23,61,11,3.9,1.5,3,48.4,0.5,1.4,36.8,0.4,0.8,56.5,0.3,1.7,2,0.7,0.5,0.4,0,1.3,8,0,0,0.6,109.6,107,2.7,8.4,1.28,14.7,2.8,14.9,8.9,11.5,57,57.7,14.9,101.53,6.7,0,1
29,36,19.2,7.9,3,6.5,46.2,1.4,3.4,42.1,0.5,0.8,63,0.4,2.1,2.5,1.9,1,0.5,0.3,1.5,15.2,0,0,-2.4,104.8,110.1,-5.3,15.8,1.97,19.8,2.1,11.7,6.8,10,57.1,57.8,17.9,98.76,9.2,0,1
35,53,13.1,5,2,4,49.1,0.7,2.2,33.9,0.3,0.4,89.5,0.2,2.3,2.5,0.7,0.4,0.3,0.2,1.3,10.5,0,0,2.2,110.9,102.6,8.3,7.7,1.81,13.7,1.9,16.4,9.7,7.6,58.3,59.9,14.9,101.44,9.2,0,1
23,13,2.9,0.5,0.2,1.1,14.3,0.1,0.6,12.5,0.1,0.2,50,0,0.2,0.2,0.1,0.1,0.1,0,0,0.9,0,0,-0.7,83.3,97.5,-14.2,3.8,1,5.9,0,4.9,2.2,5.9,17.9,20.2,16.2,103.92,-3.4,0,1
21,52,11.2,4.9,2,3.4,58,0,0,0,1,1.3,75.8,0.9,3.2,4.1,0.4,0.5,0.2,0.4,1.6,11.6,3,0,-2,101.2,108.7,-7.6,4.8,0.68,7.6,7.9,26.2,17.3,11.2,58,61.9,16.5,104.44,11.8,0,1
23,19,4.7,2.4,0.9,2.2,42.9,0.1,0.4,12.5,0.5,0.7,64.3,0.4,0.9,1.3,0.2,0.1,0,0.3,0.4,5,0,0,-0.8,98.1,110.7,-12.6,8.2,2,7.3,7,18.8,12.8,3.6,44,47.8,21.7,107.75,10.3,0,1
33,58,31.8,18.6,6.3,13.8,46,2.5,6.5,38,3.5,3.8,91.9,0.6,4.8,5.4,7.9,2.2,1.7,0.2,2.4,40.4,14,1,8.6,115.4,102.2,13.2,38.9,3.57,31,2,15.1,8.6,8.7,55,60.4,23.9,99.65,16.6,0,1
26,81,36.1,21.4,8.2,18.6,44.3,2.3,5.9,39.7,2.6,3.1,83.6,0.7,3.3,4,3.4,1.9,1,0.4,2.1,33.5,1,0,1.5,106.6,105.1,1.5,15.6,1.8,13.4,1.7,8.9,5.3,7.4,50.6,53.6,25.7,98.84,10.9,0,1
31,70,19.1,10,3.2,8.6,37.9,2.3,6.5,36.1,1.2,1.4,83.5,0.3,1.9,2.2,0.8,0.6,0.5,0.3,1.9,15.7,0,0,3.9,109,100.1,8.8,6.1,1.41,7.6,1.3,9.7,5.5,5.4,51.6,54.5,21.2,101.17,7.7,0,1
24,74,27.5,13.9,6,9.1,65.2,0,0,0,1.9,3.5,56,3.3,7.6,10.8,0.9,1.4,0.8,1.9,2.5,34.8,42,0,5.1,113.1,103.8,9.3,5.5,0.66,7.1,11.9,27.8,19.8,10.8,65.2,65,18.8,99.03,15.5,0,1
25,33,19,7.1,2.6,4.7,54.5,0.1,0.1,66.7,1.8,2.6,71.8,2,3.3,5.4,0.9,1,0.4,0.6,2.5,17.1,1,0,0.7,105.7,103.6,2.1,7.5,0.94,12.1,9.7,18.4,13.8,12.9,55.1,60.2,15.1,100.91,9.6,0,1
29,21,2.3,0.6,0.2,0.7,33.3,0,0,0,0.1,0.3,33.3,0.1,0.6,0.7,0.1,0,0.1,0,0.5,2,0,0,-0.1,100,102.7,-2.7,8.1,3,13.6,5.7,28.6,15.8,4.5,33.3,34,15,108.92,2.8,0,1
32,72,16.8,5.3,2,4.4,44.9,0.4,1.5,28.2,0.9,1.3,72.2,0.6,1.5,2.1,0.9,0.7,1.1,0.2,1.9,12.4,0,0,-0.8,104.5,107.1,-2.6,7.3,1.33,13.8,3.3,8.9,6,10.4,49.8,53.4,13.4,104.84,5.9,0,1
26,82,27,7.9,3.1,7.4,42.4,0.8,2.3,35.3,0.9,1.1,74.5,0.5,2.7,3.2,3.2,1.1,1,0.2,1.7,19,1,0,-0.6,104.6,106,-1.4,16.4,2.99,26.2,1.7,10.1,5.9,8.8,47.9,50.3,14.2,98.49,7.8,0,1
32,76,30.4,12,4.5,9.9,45.4,1.5,3.7,40.6,1.5,1.6,91.9,0.4,2.6,2.9,2.4,1.1,1.1,0.2,1.4,21.8,1,0,-3.4,104.7,110.4,-5.7,11.3,2.14,16.9,1.3,8.2,4.8,7.9,52.9,56.4,16.4,98.45,8.5,0,1
25,55,17.8,5.6,2.3,3.9,59.1,0,0,0,1,1.5,66.7,1.5,2.7,4.2,1,1,0.3,0.2,1.9,12.7,3,0,-6.1,93.5,110.6,-17,9.3,1.02,15.3,7.6,15.8,11.4,15,59.1,61.4,13.1,99.86,8.2,0,1
30,75,23.5,10.2,3.3,7.2,45.2,1.5,3.6,41.9,2.2,2.5,86.8,0.4,1.7,2.1,3.8,1.6,0.7,0,1.3,19,2,0,-1.7,101.6,105.5,-3.9,25.1,2.33,27.9,1.6,7.2,4.4,11.9,55.7,61.5,18,100.4,10.7,0,1
22,22,3.2,1,0.4,0.7,56.3,0.1,0.2,40,0,0.1,50,0.1,0.4,0.5,0.1,0.2,0.1,0,0.3,2.1,0,0,-1.9,82.2,110.7,-28.4,7.5,0.75,12.5,2.9,15.7,8.3,16.7,62.5,62.2,12.7,101.94,6.5,0,1
22,48,25.7,15.5,5.8,14,41.4,1.9,5.8,32.4,2,2.7,74,0.6,3.3,3.9,5.2,3.1,0.8,0.4,1.9,28.2,5,1,-3.8,104,110.9,-6.9,34.8,1.69,22.2,2.3,12.2,7.2,13.1,48.1,50.9,29.2,104.31,10.9,0,1
22,31,5.2,1.8,0.7,1.3,56.4,0,0,0,0.4,0.6,55,0.5,0.6,1.1,0.3,0.1,0.2,0.3,0.9,4.7,0,0,1.1,96.7,87,9.6,8.3,2.67,13.3,9.9,11.1,10.5,5,56.4,57.5,13.7,98.9,8.9,0,1
23,15,5.9,1.7,0.7,1.5,50,0,0,0,0.2,0.3,60,0.3,0.6,0.9,0.1,0.3,0.1,0.2,0.9,3.5,0,0,0,97.3,96.8,0.5,3.7,0.5,6.7,6,9.3,7.8,13.3,50,51.7,14.1,100.37,3.3,0,1
